,full_county,county,year,pct_dem
562,"Highlands County, FL",Highlands,2019,0.38
563,"Hillsborough County, FL",Hillsborough,2019,0.613129412
564,"Holmes County, FL",Holmes,2019,0.33
565,"Indian River County, FL",Indian River,2019,0.4
566,"Jackson County, FL",Jackson,2019,0.33
567,"Jefferson County, FL",Jefferson,2019,0.561889401
568,"Lafayette County, FL",Lafayette,2019,0.33
569,"Lake County, FL",Lake,2019,0.41518797
570,"Lee County, FL",Lee,2019,0.38
571,"Leon County, FL",Leon,2019,0.568137652
572,"Levy County, FL",Levy,2019,0.33
573,"Liberty County, FL",Liberty,2019,0.33
574,"Madison County, FL",Madison,2019,0.67
575,"Manatee County, FL",Manatee,2019,0.45
576,"Marion County, FL",Marion,2019,0.383292035
577,"Martin County, FL",Martin,2019,0.46
578,"Miami-Dade County, FL",Miami-Dade,2019,0.512297297
579,"Monroe County, FL",Monroe,2019,0.51
580,"Nassau County, FL",Nassau,2019,0.32
581,"Okaloosa County, FL",Okaloosa,2019,0.33
582,"Okeechobee County, FL",Okeechobee,2019,0.38
583,"Orange County, FL",Orange,2019,0.750442478
584,"Osceola County, FL",Osceola,2019,0.58
585,"Palm Beach County, FL",Palm Beach,2019,0.889361179
586,"Pasco County, FL",Pasco,2019,0.4
587,"Pinellas County, FL",Pinellas,2019,0.525402844
588,"Polk County, FL",Polk,2019,0.496002907
589,"Putnam County, FL",Putnam,2019,0.42
590,"Saint Johns County, FL",Saint Johns,2019,0.33
591,"Saint Lucie County, FL",Saint Lucie,2019,0.405991561
592,"Santa Rosa County, FL",Santa Rosa,2019,0.58
593,"Sarasota County, FL",Sarasota,2019,0.353566434
594,"Seminole County, FL",Seminole,2019,0.46
595,"Sumter County, FL",Sumter,2019,0.35
596,"Suwannee County, FL",Suwannee,2019,0.33
597,"Taylor County, FL",Taylor,2019,0.33
598,"Union County, FL",Union,2019,0.42
599,"Volusia County, FL",Volusia,2019,0.44
600,"Wakulla County, FL",Wakulla,2019,0.33
601,"Walton County, FL",Walton,2019,0.33
602,"Washington County, FL",Washington,2019,0.33
603,"Alachua County, FL",Alachua,2020,0.43
604,"Baker County, FL",Baker,2020,0.65
605,"Bay County, FL",Bay,2020,0.0
606,"Bradford County, FL",Bradford,2020,0.43
607,"Brevard County, FL",Brevard,2020,0.39
608,"Broward County, FL",Broward,2020,0.722476636
609,"Calhoun County, FL",Calhoun,2020,0.0
610,"Charlotte County, FL",Charlotte,2020,0.34
611,"Citrus County, FL",Citrus,2020,0.33
612,"Clay County, FL",Clay,2020,0.43
613,"Collier County, FL",Collier,2020,0.056645244
614,"Columbia County, FL",Columbia,2020,0.308865248
615,"DeSoto County, FL",DeSoto,2020,0.34
616,"Dixie County, FL",Dixie,2020,0.0
617,"Duval County, FL",Duval,2020,0.469376947
618,"Escambia County, FL",Escambia,2020,0.34
619,"Flagler County, FL",Flagler,2020,0.39
620,"Franklin County, FL",Franklin,2020,0.0
621,"Gadsden County, FL",Gadsden,2020,0.65
622,"Gilchrist County, FL",Gilchrist,2020,0.0
623,"Glades County, FL",Glades,2020,0.34
624,"Gulf County, FL",Gulf,2020,0.0
625,"Hamilton County, FL",Hamilton,2020,0.65
626,"Hardee County, FL",Hardee,2020,0.34
627,"Hendry County, FL",Hendry,2020,0.0
628,"Hernando County, FL",Hernando,2020,0.33
629,"Highlands County, FL",Highlands,2020,0.34
630,"Hillsborough County, FL",Hillsborough,2020,0.487811765
631,"Holmes County, FL",Holmes,2020,0.270057143
632,"Indian River County, FL",Indian River,2020,0.39
633,"Jackson County, FL",Jackson,2020,0.0
634,"Jefferson County, FL",Jefferson,2020,0.443317972
635,"Lafayette County, FL",Lafayette,2020,0.0
636,"Lake County, FL",Lake,2020,0.383383459
637,"Lee County, FL",Lee,2020,0.38211165
638,"Leon County, FL",Leon,2020,0.455263158
639,"Levy County, FL",Levy,2020,0.0
640,"Liberty County, FL",Liberty,2020,0.0
641,"Madison County, FL",Madison,2020,0.65
642,"Manatee County, FL",Manatee,2020,0.44
643,"Marion County, FL",Marion,2020,0.328477876
644,"Martin County, FL",Martin,2020,0.42
645,"Miami-Dade County, FL",Miami-Dade,2020,0.399434889
646,"Monroe County, FL",Monroe,2020,0.48
647,"Nassau County, FL",Nassau,2020,0.39
648,"Okaloosa County, FL",Okaloosa,2020,0.34
649,"Okeechobee County, FL",Okeechobee,2020,0.34
650,"Orange County, FL",Orange,2020,0.560265487
651,"Osceola County, FL",Osceola,2020,0.56
652,"Palm Beach County, FL",Palm Beach,2020,0.685773956
653,"Pasco County, FL",Pasco,2020,0.37
654,"Pinellas County, FL",Pinellas,2020,0.481469194
655,"Polk County, FL",Polk,2020,0.470305233
656,"Putnam County, FL",Putnam,2020,0.43
657,"Saint Johns County, FL",Saint Johns,2020,0.34
658,"Saint Lucie County, FL",Saint Lucie,2020,0.377130802
659,"Santa Rosa County, FL",Santa Rosa,2020,0.55
660,"Sarasota County, FL",Sarasota,2020,0.39
661,"Seminole County, FL",Seminole,2020,0.42
662,"Sumter County, FL",Sumter,2020,0.33
663,"Suwannee County, FL",Suwannee,2020,0.0
664,"Taylor County, FL",Taylor,2020,0.0
665,"Union County, FL",Union,2020,0.43
666,"Volusia County, FL",Volusia,2020,0.39
667,"Wakulla County, FL",Wakulla,2020,0.0
668,"Walton County, FL",Walton,2020,0.34
669,"Washington County, FL",Washington,2020,0.0
670,"Alachua County, FL",Alachua,2021,0.43
671,"Baker County, FL",Baker,2021,0.65
672,"Bay County, FL",Bay,2021,0.0
673,"Bradford County, FL",Bradford,2021,0.43
674,"Brevard County, FL",Brevard,2021,0.39
675,"Broward County, FL",Broward,2021,0.722476636
676,"Calhoun County, FL",Calhoun,2021,0.0
677,"Charlotte County, FL",Charlotte,2021,0.34
678,"Citrus County, FL",Citrus,2021,0.33
679,"Clay County, FL",Clay,2021,0.43
680,"Collier County, FL",Collier,2021,0.056645244
681,"Columbia County, FL",Columbia,2021,0.308865248
682,"DeSoto County, FL",DeSoto,2021,0.34
683,"Dixie County, FL",Dixie,2021,0.0
684,"Duval County, FL",Duval,2021,0.469376947
685,"Escambia County, FL",Escambia,2021,0.34
686,"Flagler County, FL",Flagler,2021,0.39
687,"Franklin County, FL",Franklin,2021,0.0
688,"Gadsden County, FL",Gadsden,2021,0.65
689,"Gilchrist County, FL",Gilchrist,2021,0.0
690,"Glades County, FL",Glades,2021,0.34
691,"Gulf County, FL",Gulf,2021,0.0
692,"Hamilton County, FL",Hamilton,2021,0.65
693,"Hardee County, FL",Hardee,2021,0.34
694,"Hendry County, FL",Hendry,2021,0.0
695,"Hernando County, FL",Hernando,2021,0.33
696,"Highlands County, FL",Highlands,2021,0.34
697,"Hillsborough County, FL",Hillsborough,2021,0.487811765
698,"Holmes County, FL",Holmes,2021,0.270057143
699,"Indian River County, FL",Indian River,2021,0.39
700,"Jackson County, FL",Jackson,2021,0.0
701,"Jefferson County, FL",Jefferson,2021,0.443317972
702,"Lafayette County, FL",Lafayette,2021,0.0
703,"Lake County, FL",Lake,2021,0.383383459
704,"Lee County, FL",Lee,2021,0.38211165
705,"Leon County, FL",Leon,2021,0.455263158
706,"Levy County, FL",Levy,2021,0.0
707,"Liberty County, FL",Liberty,2021,0.0
708,"Madison County, FL",Madison,2021,0.65
709,"Manatee County, FL",Manatee,2021,0.44
710,"Marion County, FL",Marion,2021,0.328477876
711,"Martin County, FL",Martin,2021,0.42
712,"Miami-Dade County, FL",Miami-Dade,2021,0.399434889
713,"Monroe County, FL",Monroe,2021,0.48
714,"Nassau County, FL",Nassau,2021,0.39
715,"Okaloosa County, FL",Okaloosa,2021,0.34
716,"Okeechobee County, FL",Okeechobee,2021,0.34
717,"Orange County, FL",Orange,2021,0.560265487
718,"Osceola County, FL",Osceola,2021,0.56
719,"Palm Beach County, FL",Palm Beach,2021,0.685773956
720,"Pasco County, FL",Pasco,2021,0.37
721,"Pinellas County, FL",Pinellas,2021,0.481469194
722,"Polk County, FL",Polk,2021,0.470305233
723,"Putnam County, FL",Putnam,2021,0.43
724,"Saint Johns County, FL",Saint Johns,2021,0.34
725,"Saint Lucie County, FL",Saint Lucie,2021,0.377130802
726,"Santa Rosa County, FL",Santa Rosa,2021,0.55
727,"Sarasota County, FL",Sarasota,2021,0.39
728,"Seminole County, FL",Seminole,2021,0.42
729,"Sumter County, FL",Sumter,2021,0.33
730,"Suwannee County, FL",Suwannee,2021,0.0
731,"Taylor County, FL",Taylor,2021,0.0
732,"Union County, FL",Union,2021,0.43
733,"Volusia County, FL",Volusia,2021,0.39
734,"Wakulla County, FL",Wakulla,2021,0.0
735,"Walton County, FL",Walton,2021,0.34
736,"Washington County, FL",Washington,2021,0.0
